"spkid","full_name","neo","pha","sats","diameter","GM","BV","UB","IR","per_y"
20085804," 85804 (1998 WQ5)",Y,N,0,2.272,,,,,2.26
20085818," 85818 (1998 XM4)",Y,N,0,2.028,,,,,2.13
20085839," 85839 (1998 YO4)",Y,N,0,1.140,,,,,2.13
20085953," 85953 (1999 FK21)",Y,N,0,0.59,,,,,0.635
20085989," 85989 (1999 JD6)",Y,Y,0,1.462,,,,,0.83
20085990," 85990 (1999 JV6)",Y,Y,0,0.451,,,,,1.01
20086039," 86039 (1999 NC43)",Y,Y,0,2.22,,,,,2.33
20086067," 86067 (1999 RM28)",Y,N,0,1.245,,,,,2.45
20086324," 86324 (1999 WA2)",Y,N,0,2.102,,,,,2.76
20086326," 86326 (1999 WK13)",Y,N,0,1.348,,,,,2.5
20086666," 86666 (2000 FL10)",Y,N,0,1.165,,,,,1.77
20086667," 86667 (2000 FO10)",Y,N,0,0.745,,,,,0.797
20086819," 86819 (2000 GK137)",Y,Y,0,0.802,,,,,2.82
20086829," 86829 (2000 GR146)",Y,N,0,1.823,,,,,1.77
20087309," 87309 (2000 QP)",Y,N,0,0.568,,,,,0.78
20087311," 87311 (2000 QJ1)",Y,N,0,1.948,,,,,2.01
20088188," 88188 (2000 XH44)",Y,N,0,1.371,,,,,2.85
20088213," 88213 (2001 AF2)",Y,N,0,0.912,,,,,0.932
20088254," 88254 (2001 FM129)",Y,Y,0,0.800,,,,,1.29
20088263," 88263 (2001 KQ1)",Y,N,0,5.748,,,,,3.04
20088710," 88710 (2001 SL9)",Y,N,1,0.760,,,,,1.09
20089355," 89355 (2001 VS78)",Y,N,0,2.038,,,,,2.39
20089830," 89830 (2002 CE)",Y,Y,0,5.067,,,,,3
20089959," 89959 (2002 NT7)",Y,Y,0,1.407,,,,,2.29
20090075," 90075 (2002 VU94)",Y,Y,0,2.233,,,,,3.12
20090367," 90367 (2003 LC5)",Y,N,0,1.748,,,,,1.24
20090403," 90403 (2003 YE45)",Y,Y,0,0.572,,,,,1.37
20090416," 90416 (2003 YK118)",Y,Y,0,0.968,,,,,2.21
20096189," 96189 Pygmalion (1991 NT3)",Y,N,0,3.605,,,,,2.46
20096590," 96590 (1998 XB)",Y,N,0,0.882,,,,,0.865
20099248," 99248 (2001 KY66)",Y,Y,0,1.115,,,,,2.55
20099907," 99907 (1989 VA)",Y,N,0,1.4,,,,,0.622
20099942," 99942 Apophis (2004 MN4)",Y,Y,0,0.34,,,,,0.886
20100004,"100004 (1983 VA)",Y,N,0,2.70,,,,,4.17
20100756,"100756 (1998 FM5)",Y,N,0,1.809,,,,,3.41
20100926,"100926 (1998 MQ)",Y,N,0,1.174,,,,,2.38
20101955,"101955 Bennu (1999 RQ36)",Y,Y,0,0.482,4.8904e-9,0.64,0.16,-0.33,1.2
20103067,"103067 (1999 XA143)",Y,Y,0,1.282,,,,,2.5
20105140,"105140 (2000 NL10)",Y,N,0,1.946,,,,,0.874
20105141,"105141 (2000 NF11)",Y,N,0,0.352,,,,,1.69
20108519,"108519 (2001 LF)",Y,N,0,1.423,,,,,2.03
20111253,"111253 (2001 XU10)",Y,Y,0,3.006,,,,,2.32
20112985,"112985 (2002 RS28)",Y,N,0,3.618,,,,,3.31
20136564,"136564 (1977 VA)",Y,N,0,0.4,,0.705,0.205,,2.55
20136874,"136874 (1998 FH74)",Y,N,0,3.398,,,,,3.27
20137032,"137032 (1998 UO1)",Y,N,0,1.055,,,,,2.02
20137062,"137062 (1998 WM)",Y,N,0,1.265,,,,,1.36
20137084,"137084 (1998 XS16)",Y,N,0,1.228,,,,,1.33
20137099,"137099 (1998 YW3)",Y,N,0,0.564,,,,,1.15
20137805,"137805 (1999 YK5)",Y,N,0,2.243,,,,,0.755
20137924,"137924 (2000 BD19)",Y,N,0,0.970,,,,,0.821
20137925,"137925 (2000 BJ19)",Y,N,0,1.372,,,,,1.47
20138013,"138013 (2000 CN101)",Y,N,0,3.518,,,,,2.02
20138127,"138127 (2000 EE14)",Y,Y,0,0.754,,,,,0.538
20138359,"138359 (2000 GX127)",Y,N,0,1.085,,,,,1.22
20138847,"138847 (2000 VE62)",Y,N,0,0.965,,,,,2.06
20138883,"138883 (2000 YL29)",Y,N,0,1.222,,,,,1.9
20138947,"138947 (2001 BA40)",Y,N,0,0.447,,,,,1.18
20139056,"139056 (2001 FY)",Y,N,0,0.32,,,,,2.59
20139289,"139289 (2001 KR1)",Y,N,0,1.126,,,,,1.41
20139345,"139345 (2001 KA67)",Y,N,0,2.586,,,,,2.42
20140158,"140158 (2001 SX169)",Y,Y,0,0.566,,,,,1.56
20140288,"140288 (2001 SN289)",Y,Y,0,1.263,,,,,2.38
20141432,"141432 (2002 CQ11)",Y,Y,0,0.239,,,,,0.965
20141484,"141484 (2002 DB4)",Y,N,0,1.034,,,,,0.795
20141531,"141531 (2002 GB)",Y,N,0,0.303,,,,,0.988
20142040,"142040 (2002 QE15)",Y,N,0,1.232,,,,,2.15
20142464,"142464 (2002 TC9)",Y,N,0,0.886,,,,,1.37
20142563,"142563 (2002 TR69)",Y,N,0,0.860,,,,,2.14
20142781,"142781 (2002 UM11)",Y,N,0,1.595,,,,,2.73
20143624,"143624 (2003 HM16)",Y,Y,0,2.137,,,,,2.76
20144901,"144901 (2004 WG1)",Y,N,0,2.240,,,,,2.1
20152558,"152558 (1990 SA)",Y,N,0,1.4,,,,,2.86
20152563,"152563 (1992 BF)",Y,N,0,0.272,,,,,0.865
20152564,"152564 (1992 HF)",Y,N,0,0.282,,,,,1.64
20152671,"152671 (1998 HL3)",Y,Y,0,0.298,,,,,1.2
20152679,"152679 (1998 KU2)",Y,N,0,4.167,,,,,3.38
20152742,"152742 (1998 XE12)",Y,N,0,0.413,,,,,0.823
20152754,"152754 (1999 GS6)",Y,Y,0,0.414,,,,,1.3
20152889,"152889 (2000 CF59)",Y,N,0,1.022,,,,,2.18
20152931,"152931 (2000 EA107)",Y,N,0,1.646,,,,,0.897
20152941,"152941 (2000 FM10)",Y,N,0,0.820,,,,,1.8
20152952,"152952 (2000 GC2)",Y,N,0,0.776,,,,,1.63
20152964,"152964 (2000 GP82)",Y,N,0,0.788,,,,,1.65
20152978,"152978 (2000 GJ147)",Y,Y,0,0.531,,,,,1.25
20153195,"153195 (2000 WB1)",Y,N,0,1.327,,,,,1.48
20153201,"153201 (2000 WO107)",Y,Y,0,0.510,,,,,0.87
20153219,"153219 (2000 YM29)",Y,N,0,1.289,,,,,3.02
20153249,"153249 (2001 BW15)",Y,N,0,3.160,,,,,3.08
20153271,"153271 (2001 CL42)",Y,N,0,2.441,,,,,1.94
20153591,"153591 (2001 SN263)",Y,Y,2,2,,,,,2.8
20153814,"153814 (2001 WN5)",Y,Y,0,0.932,,,,,2.24
20153842,"153842 (2001 XT30)",Y,N,0,1.759,,,,,4.56
20154029,"154029 (2002 CY46)",Y,N,0,1.119,,,,,2.6
20154035,"154035 (2002 CV59)",Y,N,0,1.098,,,,,1.33
20154276,"154276 (2002 SY50)",Y,Y,0,1.060,,,,,2.23
20154589,"154589 (2003 MX2)",Y,N,0,1.109,,,,,3.47
