full_name,neo,pha,sats,diameter,GM,BV,UB,IR,per_y,pdes,name
23405 Nisyros (1973 SB1),N,N,0,15.032,,,,,7.93,23405,Nisyros
23408 Beijingaoyun (1977 TU3),N,N,0,16.544,,,,,5.33,23408,Beijingaoyun
23463 (1989 TX11),N,N,0,26.310,,,,,11.8,23463,
23480 (1991 EL),N,N,0,27.621,,,,,11.9,23480,
23544 (1993 XW),N,N,0,19.006,,,,,5.6,23544,
23549 Epicles (1994 ES6),N,N,0,17.505,,,,,12.1,23549,Epicles
23617 Duna (1996 HM13),N,N,0,15.944,,,,,5.73,23617,Duna
23622 (1996 RW29),N,N,0,21.258,,,,,11.6,23622,
23624 (1996 UX3),N,N,0,27.292,,,,,12,23624,
23694 (1997 KZ3),N,N,0,32.389,,,,,11.9,23694,
23709 (1997 TA28),N,N,0,20.368,,,,,11.7,23709,
23710 (1997 UJ),N,N,0,17.104,,,,,11.8,23710,
23782 (1998 QE12),N,N,0,16.811,,,,,6.31,23782,
23918 (1998 SH133),N,N,0,15.980,,,,,5.57,23918,
23939 (1998 TV33),N,N,0,24.482,,,,,11.5,23939,
23947 (1998 UH16),N,N,0,18.951,,,,,12,23947,
23958 (1998 VD30),N,N,0,46.001,,,,,11.9,23958,
23963 (1998 WY8),N,N,0,19.945,,,,,11.9,23963,
23968 (1998 XA13),N,N,0,31.358,,,,,12.1,23968,
23970 (1998 YP6),N,N,0,32.404,,,,,12.1,23970,
23977 (1999 GW6),N,N,0,16.19,,,,,4.28,23977,
23987 (1999 NB63),N,N,0,20.585,,,,,11.8,23987,
24018 (1999 RU134),N,N,0,24.206,,,,,12,24018,
24022 (1999 RA144),N,N,0,20.991,,,,,12.3,24022,
24107 (1999 VS19),N,N,0,15.523,,,,,5.59,24107,
24127 (1999 VZ52),N,N,0,24.026,,,,,5.71,24127,
24178 (1999 XL7),N,N,0,15.958,,,,,5.68,24178,
24233 (1999 XD94),N,N,0,22.641,,,,,12.2,24233,
24244 (1999 XY101),N,N,0,35.342,,,,,11.9,24244,
24275 (1999 XW167),N,N,0,28.389,,,,,11.6,24275,
24279 (1999 XR171),N,N,0,20.315,,,,,11.8,24279,
24282 (1999 XB179),N,N,0,18.576,,,,,5.8,24282,
24312 (1999 YO22),N,N,0,25.545,,,,,12,24312,
24313 (1999 YR27),N,N,0,34.591,,,,,12.1,24313,
24340 (2000 AP84),N,N,0,19.069,,,,,11.9,24340,
24341 (2000 AJ87),N,N,0,16.427,,,,,12.1,24341,
24357 (2000 AC115),N,N,0,21.845,,,,,12.3,24357,
24362 (2000 AR120),N,N,0,17.134,,,,,5.01,24362,
24380 Dorippe (2000 AA160),N,N,0,31.607,,,,,12.1,24380,Dorippe
24388 (2000 AB175),N,N,0,20.400,,,,,5.3,24388,
24390 (2000 AD177),N,N,0,25.380,,,,,12,24390,
24403 (2000 AX193),N,N,0,29.392,,,,,12.1,24403,
24412 Ericpalmer (2000 AM243),N,N,0,19.054,,,,,5.59,24412,Ericpalmer
24420 Thasos (2000 BU22),N,N,0,21.723,,,,,12.2,24420,Thasos
24439 Yanney (2000 EM144),N,N,0,15.574,,,,,5.87,24439,Yanney
24440 (2000 FB1),N,N,0,25.004,,,,,5.62,24440,
24444 (2000 OP32),N,N,0,23.619,,,,,11.7,24444,
24446 (2000 PR25),N,N,0,31.392,,,,,11.9,24446,
24448 (2000 QE42),N,N,0,25.907,,,,,11.7,24448,
24449 (2000 QL63),N,N,0,22.792,,,,,11.9,24449,
24451 (2000 QS104),N,N,0,40.666,,,,,12.1,24451,
24452 (2000 QU167),N,N,0,18.689,,,,,11.8,24452,
24453 (2000 QG173),N,N,0,27.932,,,,,11.7,24453,
24454 (2000 QF198),N,N,0,28.224,,,,,11.5,24454,
24456 (2000 RO25),N,N,0,20.613,,,,,11.9,24456,
24458 (2000 RP100),N,N,0,25.686,,,,,12,24458,
24459 (2000 RF103),N,N,0,28.326,,,,,12.1,24459,
24467 (2000 SS165),N,N,0,21.164,,,,,12,24467,
24470 (2000 SJ310),N,N,0,33.067,,,,,12,24470,
24471 (2000 SH313),N,N,0,29.125,,,,,12.2,24471,
24472 (2000 SY317),N,N,0,28.723,,,,,11.9,24472,
24478 (2000 WC145),N,N,0,19.439,,,,,5.54,24478,
24485 (2000 YL102),N,N,0,26.422,,,,,11.7,24485,
24486 (2000 YR102),N,N,0,33.157,,,,,11.8,24486,
24501 (2001 AN37),N,N,0,24.543,,,,,11.8,24501,
24505 (2001 BZ),N,N,0,31.888,,,,,12,24505,
24506 (2001 BS15),N,N,0,39.052,,,,,12.3,24506,
24519 (2001 CH),N,N,0,26.279,,,,,11.9,24519,
24530 (2001 CP18),N,N,0,25.883,,,,,11.7,24530,
24531 (2001 CE21),N,N,0,20.624,,,,,11.9,24531,
24534 (2001 CX27),N,N,0,29.913,,,,,11.9,24534,
24537 (2001 CB35),N,N,0,31.158,,,,,11.8,24537,
24539 (2001 DP5),N,N,0,15.471,,,,,12.2,24539,
24561 (4646 P-L),N,N,0,15.124,,,,,5.41,24561,
24587 Kapaneus (4613 T-2),N,N,0,25.738,,,,,11.8,24587,Kapaneus
24638 (1981 UC23),N,N,0,19.438,,,,,5.64,24638,
24649 Balaklava (1985 SG3),N,N,0,16.790,,,,,5.69,24649,Balaklava
24689 (1990 OH1),N,N,0,17.072,,,,,5.57,24689,
24701 Elyu-Ene (1990 VY5),N,N,0,17.503,,,,,7.81,24701,Elyu-Ene
24749 Grebel (1992 SM17),N,N,0,18.239,,,,,5.72,24749,Grebel
24866 (1996 ER1),N,N,0,20.381,,,,,5.79,24866,
24882 (1996 RK30),N,N,0,19.116,,,,,11.8,24882,
24963 (1997 UB11),N,N,0,16.495,,,,,5.78,24963,
25000 Astrometria (1998 OW5),N,N,0,17.483,,,,,5.61,25000,Astrometria
25011 (1998 PP1),N,N,0,17.133,,,,,5.83,25011,
25263 (1998 VM16),N,N,0,16.896,,,,,5.75,25263,
25270 (1998 VR27),N,N,0,17.100,,,,,5.57,25270,
25303 (1998 XE17),N,N,0,15.126,,,,,5.65,25303,
25306 (1998 XQ73),N,N,0,21.138,,,,,5.72,25306,
25310 (1998 XY92),N,N,0,15.306,,,,,4.94,25310,
